id,name,isNfe,types/0,types/1,genderRatio/male,genderRatio/female,evolutionCount,forms/0/name,forms/0/types/0,forms/0/types/1,forms/0/genderRatio/male,forms/0/genderRatio/female,forms/1/name,forms/1/types/0,forms/1/types/1,forms/1/spriteSuffix,forms/1/isMega,forms/1/genderRatio/male,forms/1/genderRatio/female,forms/2/name,forms/2/types/0,forms/2/types/1,forms/2/spriteSuffix,forms/2/isGigantamax,forms/2/genderRatio/male,forms/2/genderRatio/female,forms/2/isMega,forms/3/name,forms/3/types/0,forms/3/types/1,forms/3/spriteSuffix,forms/3/isGigantamax,forms/3/genderRatio/male,forms/3/genderRatio/female,forms/1/isGigantamax,forms/0/isNfe,forms/1/isNfe,forms/2/isNfe,forms/3/isNfe,genderRatio,forms/0/genderRatio,forms/1/genderRatio,isSubLegendary,forms/2/genderRatio,isLegendary,isMythical,forms/3/genderRatio,forms/4/name,forms/4/types/0,forms/4/spriteSuffix,forms/4/genderRatio,forms/5/name,forms/5/types/0,forms/5/spriteSuffix,forms/5/genderRatio,forms/6/name,forms/6/types/0,forms/6/spriteSuffix,forms/6/genderRatio,forms/7/name,forms/7/types/0,forms/7/spriteSuffix,forms/7/genderRatio,forms/8/name,forms/8/types/0,forms/8/spriteSuffix,forms/8/genderRatio,forms/9/name,forms/9/types/0,forms/9/spriteSuffix,forms/9/genderRatio,forms/10/name,forms/10/types/0,forms/10/spriteSuffix,forms/10/genderRatio,forms/11/name,forms/11/types/0,forms/11/spriteSuffix,forms/11/genderRatio,forms/12/name,forms/12/types/0,forms/12/spriteSuffix,forms/12/genderRatio,forms/13/name,forms/13/types/0,forms/13/spriteSuffix,forms/13/genderRatio,forms/14/name,forms/14/types/0,forms/14/spriteSuffix,forms/14/genderRatio,forms/15/name,forms/15/types/0,forms/15/spriteSuffix,forms/15/genderRatio,forms/16/name,forms/16/types/0,forms/16/spriteSuffix,forms/16/genderRatio,forms/17/name,forms/17/types/0,forms/17/spriteSuffix,forms/17/genderRatio,forms/18/name,forms/18/types/0,forms/18/spriteSuffix,forms/18/genderRatio,forms/19/name,forms/19/types/0,forms/19/spriteSuffix,forms/19/genderRatio,forms/20/name,forms/20/types/0,forms/20/spriteSuffix,forms/20/genderRatio,forms/21/name,forms/21/types/0,forms/21/spriteSuffix,forms/21/genderRatio,forms/22/name,forms/22/types/0,forms/22/spriteSuffix,forms/22/genderRatio,forms/23/name,forms/23/types/0,forms/23/spriteSuffix,forms/23/genderRatio,forms/24/name,forms/24/types/0,forms/24/spriteSuffix,forms/24/genderRatio,forms/25/name,forms/25/types/0,forms/25/spriteSuffix,forms/25/genderRatio,forms/26/name,forms/26/types/0,forms/26/spriteSuffix,forms/26/genderRatio,forms/27/name,forms/27/types/0,forms/27/spriteSuffix,forms/27/genderRatio,forms/4/types/1,forms/5/types/1,forms/0/spriteSuffix,forms/6/types/1,forms/7/types/1,forms/8/types/1,forms/9/types/1,forms/10/types/1,forms/11/types/1,forms/12/types/1,forms/13/types/1,forms/14/types/1,forms/15/types/1,forms/16/types/1,forms/17/types/1,forms/18/types/1,forms/19/types/1,forms/4/isNfe,forms/4/genderRatio/male,forms/4/genderRatio/female,forms/5/isNfe,forms/5/genderRatio/male,forms/5/genderRatio/female,isUltraBeast,isParadox,forms/6/genderRatio/male,forms/6/genderRatio/female,forms/7/genderRatio/male,forms/7/genderRatio/female
1,Bulbasaur,true,grass,poison,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ivysaur,true,grass,poison,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Venusaur,,grass,poison,7,1,2,Venusaur,grass,poison,7,1,Venusaur Mega,grass,poison,mega,true,7,1,Venusaur Gigantamax,grass,poison,gigantamax,true,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Charmander,true,fire,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Charmeleon,true,fire,,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Charizard,,fire,flying,7,1,2,Charizard,fire,flying,7,1,Charizard Mega X,fire,dragon,mega-x,true,7,1,Charizard Mega Y,fire,flying,mega-y,,7,1,true,Charizard Gigantamax,fire,flying,gigantamax,true,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Squirtle,true,water,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wartortle,true,water,,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Blastoise,,water,,7,1,2,Blastoise,water,,7,1,Blastoise Mega,water,,mega,true,7,1,Blastoise Gigantamax,water,,gigantamax,true,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Caterpie,true,bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
